Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-05-22,"Love, Death & Robots: Pop Squad",2021,https://boxd.it/1Soi8T,,,,2021-05-21
2021-05-23,"Love, Death & Robots: Snow in the Desert",2021,https://boxd.it/1SCQ1b,,,,2021-05-23
2021-05-23,"Love, Death & Robots: The Tall Grass",2021,https://boxd.it/1SCRRd,,,,2021-05-23
2021-05-23,"Love, Death & Robots: All Through the House",2021,https://boxd.it/1SCUcx,,,,2021-05-23
2021-05-24,Coco,2017,https://boxd.it/1SDaMB,,Yes,,2021-05-23
2021-06-08,Dou kyu sei – Classmates,2016,https://boxd.it/1UObqB,5,Yes,,2021-06-08
2021-06-26,Taxi Driver,1976,https://boxd.it/1WXlhl,4,Yes,,2021-06-25
2021-06-29,Raving Riot,2019,https://boxd.it/1XolWR,,,,2021-06-28
2021-07-01,Martin Margiela: In His Own Words,2019,https://boxd.it/1XBZOJ,,,,2021-06-30
2021-07-03,Bimmer,2003,https://boxd.it/1XXp9T,,,,2021-07-03
2021-07-13,Before the Fall,2004,https://boxd.it/1Zub7z,4,,,2021-07-13
2021-07-24,In the Mood for Love,2000,https://boxd.it/212DfD,5,,,2021-07-23
2021-07-31,Defending Jacob,2020,https://boxd.it/222uPV,,,,2021-07-30
2021-08-16,The Theory of Everything,2014,https://boxd.it/24pUgr,,,,2021-08-15
2021-08-23,Better Days,2019,https://boxd.it/25onKl,,,,2021-08-22
2021-09-02,Behind Her Eyes,2021,https://boxd.it/26Nv9V,1,,,2021-09-01
2021-09-03,Luca,2021,https://boxd.it/26WVxn,,,,2021-09-02
2021-09-03,Amélie,2001,https://boxd.it/26Xfhp,,,,2021-09-02
2021-09-04,Notting Hill,1999,https://boxd.it/272P3D,,,,2021-09-03
2021-09-05,When Harry Met Sally...,1989,https://boxd.it/27fngb,4,,,2021-09-04
2021-09-08,Anelka: Misunderstood,2020,https://boxd.it/27I0MB,,,,2021-09-07
2021-09-24,The Swamp,2021,https://boxd.it/29SxUh,,,,2021-09-24
2021-09-27,Squid Game,2021,https://boxd.it/2acWCH,4,,,2021-09-25
2021-10-03,Move to Heaven,2021,https://boxd.it/2b0vJB,4,,,2021-10-02
2021-10-07,Squid Game,2021,https://boxd.it/2bFGJT,,Yes,,2021-10-06
2021-10-18,My Name,2021,https://boxd.it/2dojWf,,,,2021-10-17
2021-10-19,Sleepless in Seattle,1993,https://boxd.it/2dyEhx,4,,,2021-10-18
2021-10-31,The Vast of Night,2019,https://boxd.it/2fpaTB,4,,,2021-10-30
2021-11-03,Franz Kafka's a Country Doctor,2007,https://boxd.it/2fUHlz,,,,2021-11-02
2021-11-12,Puparia,2020,https://boxd.it/2hgL6r,5,,,2021-11-11
2021-11-19,Dou kyu sei – Classmates,2016,https://boxd.it/2iqfnz,5,Yes,,2021-11-18
2021-11-26,Last Night in Soho,2021,https://boxd.it/2jtBi7,,,,2021-11-26
2021-12-11,Prisoners,2013,https://boxd.it/2lF1rf,,,,2021-12-10
2021-12-18,The Guilty,2021,https://boxd.it/2mNyAT,1,,,2021-12-17
2021-12-18,An American Werewolf in London,1981,https://boxd.it/2mOuBv,4,,,2021-12-17
2021-12-19,Submarine,2010,https://boxd.it/2mXBNr,,,,2021-12-18
2021-12-22,After Hours,1985,https://boxd.it/2nyWrF,5,Yes,,2021-12-21
2021-12-25,Me and Earl and the Dying Girl,2015,https://boxd.it/2ocBGz,4.5,,,2021-12-24
2021-12-26,Scarface,1983,https://boxd.it/2oodNb,5,,,2021-12-25
2021-12-27,Taxi Driver,1976,https://boxd.it/2oDL4z,5,Yes,,2021-12-26
2021-12-30,The Silent Sea,2021,https://boxd.it/2puR63,3.5,,,2021-12-29
2022-01-01,The Wind Rises,2013,https://boxd.it/2q0rFb,4,,,2021-12-31
2022-01-02,The Pokrovsky Gates,1983,https://boxd.it/2qfTex,4,,,2022-01-01
2022-01-02,Night in Paradise,2020,https://boxd.it/2qhPQr,2,,,2022-01-01
2022-01-02,Tears Were Falling,1983,https://boxd.it/2qzD2F,4,,,2022-01-02
2022-01-03,...And Justice for All,1979,https://boxd.it/2qAUjF,4.5,,,2022-01-02
2022-01-03,Walking the Streets of Moscow,1964,https://boxd.it/2qTG0x,5,,,2022-01-03
2022-01-05,Play Jazz,1987,https://boxd.it/2rh8eX,,,,2022-01-04
2022-01-05,Il Mare,2000,https://boxd.it/2rqU3V,4,,,2022-01-05
2022-01-06,Whisper of the Heart,1995,https://boxd.it/2rwhSd,5,Yes,,2022-01-05
2022-01-07,The Geographer Drank His Globe Away,2013,https://boxd.it/2rLaaN,3,,,2022-01-06
2022-01-07,From Up on Poppy Hill,2011,https://boxd.it/2rLatP,2.5,,,2022-01-06
2022-01-12,Euphoria: F*ck Anyone Who’s Not a Sea Blob,2021,https://boxd.it/2t6cjN,4,,,2022-01-11
2022-01-17,Kin,1981,https://boxd.it/2uqzU7,4,,,2022-01-16
2022-01-18,Psychotronic,2017,https://boxd.it/2uyAPt,3.5,,,2022-01-17
2022-01-20,Dog Day Afternoon,1975,https://boxd.it/2v0id3,5,Yes,,2022-01-19
2022-01-20,The Raincoat Killer: Chasing a Predator in Korea,2021,https://boxd.it/2v3LLf,1.5,,,2022-01-19
2022-01-21,Closeness,2017,https://boxd.it/2veXud,3.5,,,2022-01-20
2022-01-21,The Trader,2018,https://boxd.it/2vfUI9,3,,,2022-01-20
2022-01-25,Unclenching the Fists,2021,https://boxd.it/2w9w9B,4,,,2022-01-24
2022-01-26,Bonfires and Stars,2016,https://boxd.it/2wlCHN,4,,,2022-01-25
2022-01-30,Maggie,2018,https://boxd.it/2x7Isl,4,,,2022-01-30
2022-02-03,Licorice Pizza,2021,https://boxd.it/2xSz1T,2,,,2022-02-02
2022-02-04,Microhabitat,2017,https://boxd.it/2y4Rev,4,,,2022-02-04
2022-02-05,Her,2013,https://boxd.it/2yb2dZ,3.5,,,2022-02-04
2022-02-09,Offered for Singles,1983,https://boxd.it/2yVy9n,4,,,2022-02-08
2022-02-11,And Then We Danced,2019,https://boxd.it/2zja9r,5,Yes,,2022-02-10
2022-02-12,mid90s,2018,https://boxd.it/2zrgWv,5,Yes,,2022-02-11
